study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	col_tax_id	col_scientific_name	reference_alignment
PRJEB2870	ERP001198	SAMEA1324668	ERS093059	ERX110739	ERR134721	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134721/ERR134721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134721/ERR134721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134721/ERR134721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134721/ERR134721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#14.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#14.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324739	ERS093060	ERX110740	ERR134722	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134722/ERR134722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134722/ERR134722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134722/ERR134722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134722/ERR134722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#15.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#15.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324762	ERS093061	ERX110741	ERR134723	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134723/ERR134723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134723/ERR134723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134723/ERR134723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134723/ERR134723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#16.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#16.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324715	ERS093062	ERX110742	ERR134724	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134724/ERR134724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134724/ERR134724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134724/ERR134724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134724/ERR134724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#17.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#17.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324732	ERS093063	ERX110743	ERR134725	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134725/ERR134725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134725/ERR134725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134725/ERR134725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134725/ERR134725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#18.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#18.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324545	ERS093064	ERX110744	ERR134726	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134726/ERR134726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134726/ERR134726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134726/ERR134726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134726/ERR134726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#19.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#19.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324562	ERS093065	ERX110745	ERR134727	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134727/ERR134727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134727/ERR134727_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134727/ERR134727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134727/ERR134727_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#20.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#20.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324573	ERS093066	ERX110746	ERR134728	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134728/ERR134728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134728/ERR134728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134728/ERR134728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134728/ERR134728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#21.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#21.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324517	ERS093067	ERX110747	ERR134729	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134729/ERR134729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134729/ERR134729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134729/ERR134729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134729/ERR134729_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#22.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#22.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324539	ERS093068	ERX110748	ERR134730	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134730/ERR134730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134730/ERR134730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134730/ERR134730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134730/ERR134730_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#23.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#23.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324616	ERS093069	ERX110749	ERR134731	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134731/ERR134731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134731/ERR134731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134731/ERR134731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134731/ERR134731_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#24.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#24.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324652	ERS093070	ERX110750	ERR134732	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134732/ERR134732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134732/ERR134732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134732/ERR134732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134732/ERR134732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#25.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#25.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324664	ERS093071	ERX110751	ERR134733	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134733/ERR134733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134733/ERR134733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134733/ERR134733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134733/ERR134733_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#26.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#26.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324648	ERS093072	ERX110752	ERR134734	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134734/ERR134734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134734/ERR134734_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134734/ERR134734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134734/ERR134734_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#27.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#27.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324615	ERS093073	ERX110753	ERR134735	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134735/ERR134735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134735/ERR134735_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134735/ERR134735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134735/ERR134735_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#28.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#28.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324597	ERS093074	ERX110754	ERR134736	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134736/ERR134736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134736/ERR134736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134736/ERR134736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134736/ERR134736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#29.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#29.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324581	ERS093075	ERX110755	ERR134737	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134737/ERR134737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134737/ERR134737_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134737/ERR134737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134737/ERR134737_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#30.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#30.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324559	ERS093076	ERX110756	ERR134738	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134738/ERR134738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134738/ERR134738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134738/ERR134738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134738/ERR134738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#31.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#31.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324576	ERS093077	ERX110757	ERR134739	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134739/ERR134739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134739/ERR134739_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134739/ERR134739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134739/ERR134739_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#32.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#32.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324553	ERS093078	ERX110758	ERR134740	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134740/ERR134740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134740/ERR134740_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134740/ERR134740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134740/ERR134740_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#33.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#33.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324536	ERS093079	ERX110759	ERR134741	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134741/ERR134741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134741/ERR134741_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134741/ERR134741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134741/ERR134741_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#34.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#34.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324731	ERS093080	ERX110760	ERR134742	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134742/ERR134742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134742/ERR134742_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134742/ERR134742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134742/ERR134742_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#35.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#35.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324727	ERS093081	ERX110761	ERR134743	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134743/ERR134743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134743/ERR134743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134743/ERR134743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134743/ERR134743_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#36.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#36.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324746	ERS093082	ERX110762	ERR134744	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134744/ERR134744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134744/ERR134744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134744/ERR134744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134744/ERR134744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#37.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#37.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324757	ERS093083	ERX110763	ERR134745	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134745/ERR134745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134745/ERR134745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134745/ERR134745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134745/ERR134745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#38.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#38.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324655	ERS093084	ERX110764	ERR134746	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134746/ERR134746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134746/ERR134746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134746/ERR134746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134746/ERR134746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#39.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#39.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324669	ERS093085	ERX110765	ERR134747	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134747/ERR134747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134747/ERR134747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134747/ERR134747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134747/ERR134747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#40.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#40.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324692	ERS093086	ERX110766	ERR134748	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134748/ERR134748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134748/ERR134748_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134748/ERR134748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134748/ERR134748_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#41.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#41.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324704	ERS093087	ERX110767	ERR134749	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134749/ERR134749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134749/ERR134749_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134749/ERR134749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134749/ERR134749_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#42.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#42.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324695	ERS093088	ERX110768	ERR134750	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134750/ERR134750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134750/ERR134750_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134750/ERR134750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134750/ERR134750_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#43.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#43.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324602	ERS093089	ERX110769	ERR134751	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134751/ERR134751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134751/ERR134751_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134751/ERR134751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134751/ERR134751_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#44.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#44.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324619	ERS093092	ERX110772	ERR134754	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134754/ERR134754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134754/ERR134754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134754/ERR134754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134754/ERR134754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#47.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#47.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324640	ERS093093	ERX110773	ERR134755	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134755/ERR134755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134755/ERR134755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134755/ERR134755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134755/ERR134755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#48.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#48.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324579	ERS093094	ERX110774	ERR134756	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134756/ERR134756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134756/ERR134756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134756/ERR134756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134756/ERR134756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#49.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#49.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324608	ERS093095	ERX110775	ERR134757	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134757/ERR134757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134757/ERR134757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134757/ERR134757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134757/ERR134757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#50.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#50.bam	6302616	Staphylococcus aureus	N
PRJEB2870	ERP001198	SAMEA1324678	ERS093096	ERX110776	ERR134758	Staphylococcus aureus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134758/ERR134758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134758/ERR134758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134758/ERR134758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134758/ERR134758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#51.bam	ftp.sra.ebi.ac.uk/vol1/ERA135/ERA135592/bam/7738_4#51.bam	6302616	Staphylococcus aureus	N
